Dates,USD1,USD2,USD3,USD4,USD5,USD6,USD7,USD10,USD12,USD15,USD20,USD25,USD30,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GBP10,GBP12,GBP15,GBP20,GBP25,GBP30,GBP40,JPY1,JPY2,JPY3,JPY4,JPY5,JPY6,JPY7,JPY10,JPY12,JPY15,JPY20,JPY25,JPY30,EUR1,EUR2,EUR3,EUR4,EUR5,EUR6,EUR7,EUR10,EUR12,EUR15,EUR20,EUR25,EUR30,EUR40
12/23/16,1.2105,1.5031,1.7398,1.922,2.06115,2.1692,2.2557,2.43705,2.518,2.594,2.6557,2.6745,2.67775,0.569,0.661,0.759,0.854,0.947,1.035,1.1185,1.307,1.403,1.494,1.5427,1.527,1.504,1.419,0.03125,0.045,0.0575,0.07625,0.1,0.12375,0.15125,0.2425,0.3175,0.45,0.63125,0.7175,0.76375,-0.193,-0.14,-0.045,0,0.109,0.229,0.355,0.693,0.8805,1.059,1.1995,1.24,1.251,1.2445
12/22/16,1.2075,1.5,1.7407,1.9233,2.0645,2.1753,2.264,2.4492,2.5292,2.6061,2.6688,2.6871,2.691,0.572,0.663,0.767,0.864,0.961,1.053,1.1405,1.3472,1.434,1.525,1.571,1.557,1.534,1.449,0.0313,0.045,0.0575,0.07625,0.09875,0.12375,0.15125,0.2425,0.31625,0.44875,0.6275,0.715,0.76,-0.1933,-0.147,-0.083,0.0112,0.119,0.24,0.369,0.714,0.8995,1.08,1.2245,1.266,1.278,1.273
12/21/16,1.1965,1.481,1.72,1.9063,2.0485,2.161,2.2518,2.4385,2.518,2.5925,2.6555,2.6725,2.677,0.572,0.664,0.77,0.872,0.967,1.0655,1.15,1.356,1.456,1.5465,1.595,1.584,1.5565,1.479,0.03,0.0475,0.06125,0.08,0.10375,0.13,0.15875,0.24625,0.3175,0.44625,0.62125,0.705,0.7475,-0.196,-0.154,-0.095,-0.005,0.1045,0.225,0.3448,0.688,0.8775,1.0555,1.1975,1.2375,1.2495,1.242
12/20/16,1.2008,1.4965,1.741,1.9266,2.068,2.1816,2.273,2.461,2.5424,2.6193,2.6829,2.7029,2.7072,0.569,0.653,0.75,0.859,0.966,1.063,1.152,1.368,1.468,1.562,1.6095,1.6124,1.577,1.492,0.04,0.04875,0.06375,0.08375,0.10875,0.13625,0.165,0.25375,0.32625,0.4575,0.635,0.71875,0.76125,-0.199,-0.156,-0.0905,-0.001,0.115,0.2355,0.365,0.709,0.8955,1.0775,1.2215,1.2645,1.2785,1.2755
12/19/16,1.2,1.4915,1.7316,1.9129,2.0538,2.1683,2.2585,2.4468,2.5286,2.6064,2.6705,2.6905,2.6953,0.574,0.656,0.763,0.872,0.974,1.076,1.165,1.3892,1.483,1.575,1.626,1.611,1.589,1.499,0.03125,0.055,0.07375,0.09625,0.1225,0.15,0.18,0.27,0.34375,0.4775,0.655,0.74125,0.78375,-0.197,-0.16,-0.1045,-0.015,0.0925,0.214,0.3325,0.676,0.8705,1.0525,1.1945,1.2375,1.2515,1.2425
12/16/16,1.2141,1.5168,1.7675,1.9575,2.0997,2.2148,2.3075,2.497,2.5796,2.656,2.7195,2.7406,2.7427,0.578,0.66,0.767,0.878,0.989,1.09,1.189,1.412,1.511,1.605,1.658,1.644,1.623,1.539,0.015,0.05125,0.07125,0.09625,0.12375,0.1525,0.1825,0.2725,0.345,0.4775,0.6525,0.735,0.77625,-0.197,-0.159,-0.076,0.0142,0.14,0.269,0.402,0.762,0.949,1.135,1.286,1.332,1.349,1.346
12/15/16,1.2179,1.5205,1.7747,1.9703,2.1156,2.2288,2.3167,2.4955,2.5723,2.643,2.7019,2.7195,2.7223,0.581,0.668,0.779,0.888,0.996,1.1,1.205,1.426,1.53,1.626,1.679,1.666,1.646,1.56,0.0213,0.035,0.055,0.0825,0.1125,0.14375,0.17625,0.2725,0.35,0.48875,0.675,0.765,0.81,-0.201,-0.162,-0.092,0.013,0.137,0.27,0.407,0.773,0.967,1.16,1.316,1.365,1.384,1.378
12/14/16,1.21,1.4935,1.7288,1.9107,2.0574,2.1685,2.2608,2.4465,2.5292,2.6065,2.6776,2.7015,2.7078,0.569,0.638,0.733,0.829,0.927,1.021,1.114,1.339,1.443,1.539,1.592,1.5969,1.564,1.475,0.0158,0.02625,0.0375,0.0575,0.0825,0.11,0.14,0.2375,0.3175,0.46,0.6475,0.73875,0.7925,-0.207,-0.17,-0.0635,-0.0069,0.144,0.27,0.403,0.78,0.91,1.11,1.26,1.31,1.374,1.3665
12/13/16,1.149,1.3851,1.5963,1.771,1.9101,2.0285,2.1243,2.3293,2.417,2.5091,2.5887,2.6178,2.6291,0.572,0.651,0.748,0.855,0.965,1.063,1.164,1.404,1.508,1.605,1.659,1.645,1.62,1.5305,0.01625,0.03,0.045,0.0675,0.095,0.125,0.15875,0.2625,0.34375,0.49125,0.7,0.80375,0.86375,-0.202,-0.162,-0.099,0.001,0.124,0.256,0.392,0.76,0.9495,1.146,1.305,1.357,1.377,1.369
12/12/16,1.1375,1.369,1.5803,1.755,1.8995,2.0218,2.1245,2.3413,2.4375,2.5299,2.6135,2.6456,2.6576,0.565,0.652,0.755,0.87,0.986,1.087,1.189,1.4455,1.532,1.63,1.682,1.668,1.642,1.555,0.0175,0.02875,0.0425,0.06375,0.09125,0.1225,0.15625,0.265,0.35,0.49875,0.71375,0.82125,0.8875,-0.202,-0.1605,-0.085,0.0334,0.15,0.288,0.429,0.808,1.004,1.203,1.364,1.416,1.437,1.428
